#name,x,y,alt,heading,pitch,roll,f,px,py,k1,k2,k3,k4,t1,t2
img10.png,-40.63043812294611,62.84347959592323,5.864393197913925,-30.61223653215558,83.60049489470151,-177.0938987555311,38.27244063100588,9.773308912898921e-003,-1.007582074359244e-002,-0.1603834254923724,1.895068899742663,-16.17774312606065,0,0,0
img11.png,-50.36928350230571,54.34472702554241,5.673851192860875,-41.29508337645024,82.93364727467113,-178.0692805823103,38.0695281406466,8.397661097454502e-003,-1.948042235654633e-002,-9.47711017773164e-002,-0.9829299337141757,19.62838612589943,0,0,0
img12.png,-59.75939923427777,44.08538504633186,5.42731033586683,-52.20007273534854,82.18618759091446,-179.0412406130961,38.41113538849099,1.619077658844352e-002,-3.106913586824238e-002,-0.2049867782000279,1.295029998547473,-0.6107241639547427,0,0,0
img13.png,-67.18135280619586,32.59995225560041,5.154541819229332,-62.45744936072745,81.9239655691226,-179.6770191692154,38.81997760537296,2.52312873147961e-002,-3.375566595889779e-002,-0.3068191138551828,4.356663411754094,-27.43860929783746,0,0,0
img14.png,-71.46738095782524,20.12788751631403,4.882657808192223,-72.22134241337193,82.349592623402,180,38.63103075156537,3.036755473654058e-002,-2.144701469921617e-002,-0.2230213159211907,3.693713583118658,-27.00837472374289,0,0,0
img15.png,-73.65517152673306,6.724812214672221,4.621882622509936,-82.20491619430553,82.18830210879042,180,38.51993882769,3.129032324511989e-002,-2.03811581587383e-002,-0.2421170948999433,3.94339793778605,-26.89709902737166,0,0,0
img16.png,-73.94561328473736,-6.698249228328539,4.352094066398283,-91.94165538018379,81.85978451659008,-179.2683612923716,38.54621787689995,2.10195111156701e-002,-2.33333295030224e-002,-0.1652521159450866,1.602858368767114,-7.169779211191782,0,0,0
img17.png,-72.05441065751045,-19.98634891357047,4.082285545076777,-101.4335833023671,81.50995389159291,-178.7589451459479,38.88938364345475,1.883096264086019e-002,-2.693773284519857e-002,-0.3282487339322802,6.688366906676223,-61.62751061842383,0,0,0
img18.png,-67.11107965209264,-32.76107881553033,3.916301727035655,-110.7697776974869,81.70294286957474,-177.8852194555716,38.75958711809813,1.627866467789928e-002,-2.016251727783344e-002,-0.4249993640860088,8.855210931634218,-71.91751309325353,0,0,0
img19.png,-60.11595144047672,-44.38544033777873,3.756863078342272,-119.9529740057909,81.59603009386913,-176.9713178645074,38.55704310970874,1.488431540021294e-002,-1.914092604927038e-002,-0.2991174423630721,4.618914479800776,-33.73171989676955,0,0,0
img20.png,-51.48174611822467,-54.64770193272862,3.583669140706899,-128.8628338140788,81.63519239521942,-176.0755632111275,38.50939349494877,1.73714573906805e-002,-1.557708682099285e-002,-0.345739075408493,5.801514709784046,-43.07413795457533,0,0,0
img21.png,-40.8651071574065,-63.10759569172318,3.495464848583611,-137.7617940699863,81.81009684311769,-174.5072219766982,38.31453554721616,1.020224841603849e-002,-9.957393607390489e-003,-0.3431454049493102,5.582499485551383,-37.59757690746271,0,0,0
